dataset,method,base_method,centrality,proportion,ri,ch,fm,v,dbs,ss
eating_norm,RAW,RAW,,,0.891118458556607,0.0023417574335750377,0.018123571931864594,0.051296470844287095,0.6964529272935864,0.08681522792806609
eating_norm,ISOMAP,ISOMAP,,,0.8553186637783604,0.3039028364333374,0.11453278084778175,0.10706242284249827,0.13666829753814538,0.5297378729415992
eating_norm,SSKISOMAP_betweenness_centrality_p10,SSKISOMAP,betweenness,10,0.7514536540873331,0.4200200765925764,0.10961938562571734,0.05729333832565212,0.128681796394945,0.5761148887914306
eating_norm,SSKISOMAP_betweenness_centrality_p20,SSKISOMAP,betweenness,20,0.9445901265534141,0.46345833470264186,0.21555841827577343,0.23074039919300338,0.1503516442258874,0.5779598797211728
eating_norm,SSKISOMAP_betweenness_centrality_p30,SSKISOMAP,betweenness,30,0.9058260175578612,0.373124010221932,0.05765621606895096,0.0518938196965776,0.16507454886940387,0.5464098965835578
eating_norm,SSKISOMAP_betweenness_centrality_p40,SSKISOMAP,betweenness,40,0.8106259263481927,0.4497534684656153,0.3446505670567922,0.20443294347747265,0.19787223854666575,0.5874946544410197
eating_norm,SSKISOMAP_betweenness_centrality_p50,SSKISOMAP,betweenness,50,0.9045718846197692,0.615442097680588,0.17659944757722218,0.1430800055074181,0.1285510831669428,0.7238538588813436
eating_norm,SSKISOMAP_betweenness_centrality_p60,SSKISOMAP,betweenness,60,0.8796032379432214,0.6981194341908875,0.16281876337119583,0.20413788079956038,0.07009538680900261,0.8198642848108654
eating_norm,SSKISOMAP_betweenness_centrality_p70,SSKISOMAP,betweenness,70,0.8351385246836159,0.9135417329600118,0.18908083188875316,0.12986140991004372,0.11059115917920694,0.9933120476227632
eating_norm,SSKISOMAP_betweenness_centrality_p80,SSKISOMAP,betweenness,80,0.9718390149355828,0.6116572144214087,0.2487783539307399,0.20967299523765182,0.10701291808750946,0.715216830211475
eating_norm,SSKISOMAP_betweenness_centrality_p90,SSKISOMAP,betweenness,90,0.8143883251624672,0.38370277674205616,0.27528033416245096,0.12323358004119528,0.35505131600760614,0.9151195676241655
eating_norm,SSKISOMAP_betweenness_centrality_p100,SSKISOMAP,betweenness,100,0.9103865009691022,0.93452134150118,0.2988889871519459,0.23318363076893925,0.03890594295185501,0.9521055954324207
eating_norm,SSKISOMAP_degree_centrality_p10,SSKISOMAP,degree,10,0.8158704822711207,0.44914512838248066,0.08449528193416514,0.0443587000778739,0.12283546605296577,0.5643818119967371
eating_norm,SSKISOMAP_degree_centrality_p20,SSKISOMAP,degree,20,0.8749287424466992,0.3823609901574123,0.06771230408250568,0.13232023275124663,0.2155216820704702,0.5580314989031461
eating_norm,SSKISOMAP_degree_centrality_p30,SSKISOMAP,degree,30,0.88929426519211,0.3969675670210202,0.05464756068920405,0.03681561416315323,0.09448445450273726,0.6804178309893478
eating_norm,SSKISOMAP_degree_centrality_p40,SSKISOMAP,degree,40,0.8444875156766618,0.43809257462234186,0.15640933585248695,0.15995132758366537,0.08861401341079636,0.7498200954322657
eating_norm,SSKISOMAP_degree_centrality_p50,SSKISOMAP,degree,50,0.9164291414889976,0.3459609404305866,0.0029067190559938726,0.04168535611869056,0.18567544209002226,0.6570986573664797
eating_norm,SSKISOMAP_degree_centrality_p60,SSKISOMAP,degree,60,0.9256641203967615,0.4723812450368007,0.18765016362874826,0.17349402548731974,0.1066692118177388,0.7893602518160183
eating_norm,SSKISOMAP_degree_centrality_p70,SSKISOMAP,degree,70,0.8353665488541783,0.5367188533761162,0.2028390343025619,0.09632823424325265,0.1025246658115234,0.841551288365871
eating_norm,SSKISOMAP_degree_centrality_p80,SSKISOMAP,degree,80,0.760118572568692,0.8487626232868417,0.2671739666576461,0.13009740584391152,0.05387745234119445,0.9671253838170519
eating_norm,SSKISOMAP_degree_centrality_p90,SSKISOMAP,degree,90,0.7901037509976055,0.37175241826316896,0.2071600486990931,0.10458417964336994,1.0,0.6658274725613893
eating_norm,SSKISOMAP_degree_centrality_p100,SSKISOMAP,degree,100,0.9791357883935693,0.5358477865524645,0.41195474048166314,0.3784355065277801,0.0973442336731873,0.7980502301866372
eating_norm,SSKISOMAP_closeness_centrality_p10,SSKISOMAP,closeness,10,0.828753847907878,0.43698462558981044,0.02462861971315735,0.017177447912631184,0.12846793113518534,0.5703045050690808
eating_norm,SSKISOMAP_closeness_centrality_p20,SSKISOMAP,closeness,20,0.6377836050621367,0.4454916043504642,0.19083294894135744,0.04265201345020483,0.11340968778080263,0.583506710784151
eating_norm,SSKISOMAP_closeness_centrality_p30,SSKISOMAP,closeness,30,0.866035799794778,0.4374347290981511,0.07891223536186862,0.11316742253154277,0.21620083863371806,0.5520127621206457
eating_norm,SSKISOMAP_closeness_centrality_p40,SSKISOMAP,closeness,40,0.7815528446015277,0.4495313425262796,0.09163752826687424,0.0,0.09826964853536219,0.6561343680034857
eating_norm,SSKISOMAP_closeness_centrality_p50,SSKISOMAP,closeness,50,0.8887242047657049,0.3877687665582045,0.1433056739055909,0.11710936544028805,0.16675252344241703,0.6158536786057285
eating_norm,SSKISOMAP_closeness_centrality_p60,SSKISOMAP,closeness,60,0.8789191654315353,0.5581515556713984,0.1959914383730566,0.16694936894218237,0.06973900310927193,0.8617486420788733
eating_norm,SSKISOMAP_closeness_centrality_p70,SSKISOMAP,closeness,70,0.8505301561965564,0.485758898530722,0.24792827053207778,0.18595458728349348,0.10823717937577051,0.8218209304218094
eating_norm,SSKISOMAP_closeness_centrality_p80,SSKISOMAP,closeness,80,0.7173640405883024,0.44038108705041584,0.26249186830290444,0.05269237268115147,0.24781998993985446,0.8099091380270748
eating_norm,SSKISOMAP_closeness_centrality_p90,SSKISOMAP,closeness,90,0.7769923611902859,0.9298470444853927,0.39245840055370945,0.17451229512059335,0.0,1.0
eating_norm,SSKISOMAP_closeness_centrality_p100,SSKISOMAP,closeness,100,0.8808573708813133,0.7668095814233683,0.38411585400045667,0.2914937023821806,0.06227261124575989,0.9169950748616347
eating_norm,SSKISOMAP_eigenvector_centrality_p10,SSKISOMAP,eigenvector,10,0.8691141260973662,0.4289749934470836,0.15727402202274085,0.14939362412092744,0.16371271727090997,0.5662596900884206
eating_norm,SSKISOMAP_eigenvector_centrality_p20,SSKISOMAP,eigenvector,20,0.9092463801162921,0.42618489991849223,0.06455650042247472,0.12008714333686595,0.14067001004285387,0.5721242072996564
eating_norm,SSKISOMAP_eigenvector_centrality_p30,SSKISOMAP,eigenvector,30,0.9499486945616231,0.4139410624798107,0.12276713135110993,0.1677374882061862,0.14249405804735163,0.5986202903360232
eating_norm,SSKISOMAP_eigenvector_centrality_p40,SSKISOMAP,eigenvector,40,0.8241933644966362,0.34124369160182544,0.09758778481447787,0.04829278053142452,0.2221492399734115,0.6103139073113837
eating_norm,SSKISOMAP_eigenvector_centrality_p50,SSKISOMAP,eigenvector,50,0.7535058716223917,0.3036933635301759,0.22040297448004062,0.052255251019822806,0.13609016627673418,0.6253212126683783
