dataset,method,base_method,centrality,proportion,ri,ch,fm,v,dbs,ss
eating_norm,RAW,RAW,,,0.78659793814433,0.015510939349359378,0.10917841686853104,0.07021674860757599,0.5632405687530883,0.1703707790122065
eating_norm,ISOMAP,ISOMAP,,,0.8528064146620851,0.42891784653695003,0.09737429037124841,0.09452399171394849,0.08278325915197655,0.632581112025995
eating_norm,SSKISOMAP_betweenness_centrality_p10,SSKISOMAP,betweenness,10,0.797479954180985,0.41523104932093136,0.07599452558800181,0.02453606772603905,0.09648274059152712,0.5000071363250408
eating_norm,SSKISOMAP_betweenness_centrality_p20,SSKISOMAP,betweenness,20,0.9458190148911799,0.4002754053858249,0.017234044649563202,0.12422368141255577,0.15338819978148718,0.5370399102976168
eating_norm,SSKISOMAP_betweenness_centrality_p30,SSKISOMAP,betweenness,30,0.9386025200458192,0.3295709309120858,0.0626454717419027,0.164704699531384,0.1856850314140672,0.4740376004414773
eating_norm,SSKISOMAP_betweenness_centrality_p40,SSKISOMAP,betweenness,40,0.8801832760595645,0.4636173261146881,0.10310644217351696,0.11580519965761343,0.1603612328438151,0.6269704579977916
eating_norm,SSKISOMAP_betweenness_centrality_p50,SSKISOMAP,betweenness,50,0.8232531500572738,0.39215473927258193,0.09068776930187038,0.0337084606042992,0.2364639305120911,0.6042585584779343
eating_norm,SSKISOMAP_betweenness_centrality_p60,SSKISOMAP,betweenness,60,0.8923253150057275,0.47916768857063724,0.09244960274790807,0.0982617465511291,0.16902164685983173,0.57350035914063
eating_norm,SSKISOMAP_betweenness_centrality_p70,SSKISOMAP,betweenness,70,0.8934707903780067,0.41277250967734014,0.12798106467262454,0.15604729439982268,0.2946065038301021,0.5114589730462445
eating_norm,SSKISOMAP_betweenness_centrality_p80,SSKISOMAP,betweenness,80,0.9060710194730813,0.41427698386015227,0.13005847336695045,0.14251551306914373,0.39217529517027777,0.4638226433743683
eating_norm,SSKISOMAP_betweenness_centrality_p90,SSKISOMAP,betweenness,90,0.9860252004581901,0.629476952975647,0.20823144236646263,0.23472998196502784,0.10389392398111366,0.6627175396238166
eating_norm,SSKISOMAP_betweenness_centrality_p100,SSKISOMAP,betweenness,100,0.935967926689576,0.40139797753504813,0.34506000905389084,0.2719029253218716,0.6219973682695098,0.6798115291883079
eating_norm,SSKISOMAP_degree_centrality_p10,SSKISOMAP,degree,10,,,,,,
eating_norm,SSKISOMAP_degree_centrality_p20,SSKISOMAP,degree,20,,,,,,
eating_norm,SSKISOMAP_degree_centrality_p30,SSKISOMAP,degree,30,,,,,,
eating_norm,SSKISOMAP_degree_centrality_p40,SSKISOMAP,degree,40,,,,,,
eating_norm,SSKISOMAP_degree_centrality_p50,SSKISOMAP,degree,50,,,,,,
eating_norm,SSKISOMAP_degree_centrality_p60,SSKISOMAP,degree,60,,,,,,
eating_norm,SSKISOMAP_degree_centrality_p70,SSKISOMAP,degree,70,,,,,,
eating_norm,SSKISOMAP_degree_centrality_p80,SSKISOMAP,degree,80,,,,,,
eating_norm,SSKISOMAP_degree_centrality_p90,SSKISOMAP,degree,90,,,,,,
eating_norm,SSKISOMAP_degree_centrality_p100,SSKISOMAP,degree,100,,,,,,
eating_norm,SSKISOMAP_closeness_centrality_p10,SSKISOMAP,closeness,10,,,,,,
eating_norm,SSKISOMAP_closeness_centrality_p20,SSKISOMAP,closeness,20,,,,,,
eating_norm,SSKISOMAP_closeness_centrality_p30,SSKISOMAP,closeness,30,,,,,,
eating_norm,SSKISOMAP_closeness_centrality_p40,SSKISOMAP,closeness,40,,,,,,
eating_norm,SSKISOMAP_closeness_centrality_p50,SSKISOMAP,closeness,50,,,,,,
eating_norm,SSKISOMAP_closeness_centrality_p60,SSKISOMAP,closeness,60,,,,,,
eating_norm,SSKISOMAP_closeness_centrality_p70,SSKISOMAP,closeness,70,,,,,,
eating_norm,SSKISOMAP_closeness_centrality_p80,SSKISOMAP,closeness,80,,,,,,
eating_norm,SSKISOMAP_closeness_centrality_p90,SSKISOMAP,closeness,90,,,,,,
eating_norm,SSKISOMAP_closeness_centrality_p100,SSKISOMAP,closeness,100,,,,,,
eating_norm,SSKISOMAP_eigenvector_centrality_p10,SSKISOMAP,eigenvector,10,,,,,,
eating_norm,SSKISOMAP_eigenvector_centrality_p20,SSKISOMAP,eigenvector,20,,,,,,
eating_norm,SSKISOMAP_eigenvector_centrality_p30,SSKISOMAP,eigenvector,30,,,,,,
eating_norm,SSKISOMAP_eigenvector_centrality_p40,SSKISOMAP,eigenvector,40,,,,,,
eating_norm,SSKISOMAP_eigenvector_centrality_p50,SSKISOMAP,eigenvector,50,,,,,,
eating_norm,SSKISOMAP_eigenvector_centrality_p60,SSKISOMAP,eigenvector,60,,,,,,
eating_norm,SSKISOMAP_eigenvector_centrality_p70,SSKISOMAP,eigenvector,70,,,,,,
eating_norm,SSKISOMAP_eigenvector_centrality_p80,SSKISOMAP,eigenvector,80,,,,,,
eating_norm,SSKISOMAP_eigenvector_centrality_p90,SSKISOMAP,eigenvector,90,,,,,,
eating_norm,SSKISOMAP_eigenvector_centrality_p100,SSKISOMAP,eigenvector,100,,,,,,
eating_norm,KISOMAP,KISOMAP,,,0.9876288659793815,0.6953791707469811,0.18393386044312066,0.2051468918560452,0.10685561210123372,0.7456883027934059
eating_norm,UMAP,UMAP,,,0.8788087056128292,0.7309986387998754,0.11423648942668993,0.1384581246195431,0.08162741957000336,0.7522429499184735
eating_norm,TSNE,TSNE,,,1.0,0.8417854045374115,0.4002552949988027,0.3938687291182931,0.06514789836555061,0.7894072453642289
eating_norm,LLE,LLE,,,0.0,0.7774170797133035,0.6106469903004885,0.0,0.0,1.0
eating_norm,SE,SE,,,0.9663230240549829,1.0,0.0,0.11925822105358222,0.03317928464844435,0.8336146586737964
eating_norm,KPCA,KPCA,,,0.8706758304696447,0.3497471493015229,0.05935256929994271,0.07389886454793518,0.15471252190074086,0.5010421855138875
eating_norm,LDA,LDA,,,0.9844215349369987,0.0,0.8326677591671326,1.0,1.0,0.0
eating_norm,PLS,PLS,,,0.8117983963344791,0.17242128794592568,1.0,0.7814055922665394,0.41032324041884904,0.2326065471136268
qsar-biodeg_norm,RAW,RAW,,,0.2697115384615385,0.093136732164965,0.9651250804367334,0.055423050628798536,0.029696826099864525,0.864397310200782
qsar-biodeg_norm,ISOMAP,ISOMAP,,,0.23048076923076918,0.20672924783228105,0.9004910524375174,0.09948704575482886,0.03834633527994583,1.0
qsar-biodeg_norm,SSKISOMAP_betweenness_centrality_p10,SSKISOMAP,betweenness,10,0.011249999999999835,0.30316966160187087,0.0,0.08552544488806742,0.22545352744284147,0.04613464118667408
qsar-biodeg_norm,SSKISOMAP_betweenness_centrality_p20,SSKISOMAP,betweenness,20,0.0,0.3422726487681998,0.020836573842468096,0.05072832874298684,0.1693653708762862,0.29969425002072053
qsar-biodeg_norm,SSKISOMAP_betweenness_centrality_p30,SSKISOMAP,betweenness,30,0.3692307692307695,0.07066087968696083,0.7793266402033734,0.11049121918326336,0.6178020901664824,0.5767199738744224
qsar-biodeg_norm,SSKISOMAP_betweenness_centrality_p40,SSKISOMAP,betweenness,40,0.07499999999999979,0.06780465996558874,0.32337704705015036,0.0,0.6222104974036259,0.3464403073582045
qsar-biodeg_norm,SSKISOMAP_betweenness_centrality_p50,SSKISOMAP,betweenness,50,0.042019230769231024,0.023851211907388634,0.26211186247276486,0.018427367059234673,1.0,0.25360793099877016
qsar-biodeg_norm,SSKISOMAP_betweenness_centrality_p60,SSKISOMAP,betweenness,60,0.16923076923076913,0.8446721605322732,0.13845712906014343,0.44711383538906024,0.0627263617645025,0.6110235910584244
qsar-biodeg_norm,SSKISOMAP_betweenness_centrality_p70,SSKISOMAP,betweenness,70,0.09807692307692305,0.18448795936340295,0.5998476633380845,0.11249079466138286,0.22048707637972068,0.5311659773117934
qsar-biodeg_norm,SSKISOMAP_betweenness_centrality_p80,SSKISOMAP,betweenness,80,0.15346153846153843,0.9982829428167045,0.12315882737484195,0.4111018902733886,0.04541685770355803,0.6757900848140628
