dataset,method,base_method,centrality,proportion,ri,ch,fm,v,dbs,ss
eating_norm,RAW,RAW,,,0.7631368364897305,0.008440786522357857,0.1252743689985934,0.061181634227667744,0.8106963552146611,0.16020030312754768
eating_norm,ISOMAP,ISOMAP,,,0.8402240597492665,0.42480016945689797,0.11172998411978238,0.08592776047195634,0.08944249025823914,0.6878459298146817
eating_norm,SSKISOMAP_betweenness_centrality_p10,SSKISOMAP,betweenness,10,0.8332888770338757,0.4319151775539776,0.06687322610463567,0.02747948524087799,0.08426712938076947,0.6819442225032917
eating_norm,SSKISOMAP_betweenness_centrality_p20,SSKISOMAP,betweenness,20,0.8938383568951719,0.4010604427085965,0.07109045245025901,0.0740763017251655,0.21272927126657645,0.5996863195578189
eating_norm,SSKISOMAP_betweenness_centrality_p30,SSKISOMAP,betweenness,30,0.8740997599359827,0.29921044400336877,0.1087445388485391,0.09913825861389676,0.34695442263036874,0.49236633405748803
eating_norm,SSKISOMAP_betweenness_centrality_p40,SSKISOMAP,betweenness,40,0.7772739397172574,0.4376204478946163,0.16072000085698046,0.041108502533175884,0.09239254104308602,0.7821196923292891
eating_norm,SSKISOMAP_betweenness_centrality_p50,SSKISOMAP,betweenness,50,0.6848492931448389,0.447533500758181,0.24334097139221939,0.07580888535387209,0.07938340908650073,0.7928774772489982
eating_norm,SSKISOMAP_betweenness_centrality_p60,SSKISOMAP,betweenness,60,0.9370498799679909,0.49184840210227915,0.09227096093205638,0.13683472753589387,0.19315789165936767,0.6961944684887965
eating_norm,SSKISOMAP_betweenness_centrality_p70,SSKISOMAP,betweenness,70,0.8378234195785537,0.5986317228649384,0.1336193965114932,0.1302094844466901,0.12474851305795145,0.824388989073895
eating_norm,SSKISOMAP_betweenness_centrality_p80,SSKISOMAP,betweenness,80,0.9263803680981594,0.6885609818278609,0.09585458738711604,0.07327754736894546,0.07241221627898047,0.8367915824596973
eating_norm,SSKISOMAP_betweenness_centrality_p90,SSKISOMAP,betweenness,90,0.872499333155508,0.5283856196728649,0.260379112401993,0.15887346034415173,0.3283322255565758,0.8223382260507428
eating_norm,SSKISOMAP_betweenness_centrality_p100,SSKISOMAP,betweenness,100,0.9695918911709784,0.6193022678959114,0.04753504423349373,0.10784426047338028,0.12666881248123937,0.7022240044924597
eating_norm,SSKISOMAP_degree_centrality_p10,SSKISOMAP,degree,10,0.7864763937049881,0.5637503315301801,0.1542122991223793,0.07711412435942214,0.07888960653845627,0.8170300631282871
eating_norm,SSKISOMAP_degree_centrality_p20,SSKISOMAP,degree,20,0.6811149639903974,0.5768332636954245,0.2111625040598296,0.09347620256595496,0.032459978512482085,0.8863833737129684
eating_norm,SSKISOMAP_degree_centrality_p30,SSKISOMAP,degree,30,0.7112563350226728,0.46842050323438644,0.1769959486220416,0.0992362411586705,0.0932638887405182,0.7342085525066069
eating_norm,SSKISOMAP_degree_centrality_p40,SSKISOMAP,degree,40,0.7620698853027471,0.2510024225179937,0.13221130815965026,0.036899071359487425,0.3352890462353383,0.5778832455093414
eating_norm,SSKISOMAP_degree_centrality_p50,SSKISOMAP,degree,50,0.7920778874366495,0.5022924537101042,0.1558889058188681,0.10178826498060524,0.07407292100429728,0.8046706519725882
eating_norm,SSKISOMAP_degree_centrality_p60,SSKISOMAP,degree,60,0.836356361696452,0.3484169189553116,0.19275814996671545,0.15619839746816,0.2073867542170981,0.5971095531328144
eating_norm,SSKISOMAP_degree_centrality_p70,SSKISOMAP,degree,70,0.9233128834355823,0.49337425318086436,0.33688249043902857,0.20999736031291602,0.22664736832782306,0.6337691601471731
eating_norm,SSKISOMAP_degree_centrality_p80,SSKISOMAP,degree,80,0.925313416911176,0.56367157720463,0.09814817023776704,0.10859582619107613,0.18396542469693491,0.7604467136946441
eating_norm,SSKISOMAP_degree_centrality_p90,SSKISOMAP,degree,90,0.9498532942117893,0.5891787884034773,0.021766660455894857,0.04396347679343762,0.16354580036263713,0.721559144784004
eating_norm,SSKISOMAP_degree_centrality_p100,SSKISOMAP,degree,100,0.7369965324086417,0.5735019948859672,0.3773396373594028,0.1448243915984486,0.12411274139280051,0.6876369590001612
eating_norm,SSKISOMAP_closeness_centrality_p10,SSKISOMAP,closeness,10,0.8459589223793009,0.42266409538664435,0.08498282029199358,0.06791539374849327,0.126557731539796,0.6896848057925141
eating_norm,SSKISOMAP_closeness_centrality_p20,SSKISOMAP,closeness,20,0.6671112296612426,0.447512073690859,0.20105581697249658,0.08468364229754202,0.06865089822408792,0.7159913377822273
eating_norm,SSKISOMAP_closeness_centrality_p30,SSKISOMAP,closeness,30,0.6780474793278202,0.5257898880593712,0.21387675382616808,0.11009142680421594,0.11039949428109078,0.8141194099553376
eating_norm,SSKISOMAP_closeness_centrality_p40,SSKISOMAP,closeness,40,0.6351026940517472,0.4707106484953914,0.13643948640758446,0.030118608498071003,0.11137686674261016,0.7614247293227441
eating_norm,SSKISOMAP_closeness_centrality_p50,SSKISOMAP,closeness,50,0.7035209389170446,0.4120922385366489,0.11763517162443991,0.07005284353342897,0.04582386945362796,0.845929899810243
eating_norm,SSKISOMAP_closeness_centrality_p60,SSKISOMAP,closeness,60,0.7296612429981326,0.4388160608681301,0.2902642356241825,0.16887751012658786,0.023672839293313756,0.8164937354922571
eating_norm,SSKISOMAP_closeness_centrality_p70,SSKISOMAP,closeness,70,0.5516137636703116,0.39733440389069424,0.5793578549256337,0.25682302669494866,0.05685752921716372,0.7928760440239733
eating_norm,SSKISOMAP_closeness_centrality_p80,SSKISOMAP,closeness,80,0.8472926113630296,0.36472988359029856,0.1526369303696008,0.1283163892038432,0.09914747831204884,0.6966187546170258
